Time_s,Voltage_V,Current_A,Temp_C
0,3.33,0.0,20.0
1,3.33,0.0,20.0
2,3.33,0.0,20.0
3,3.33,0.0,20.0
4,3.33,0.0,20.0
5,3.33,0.0,20.0
6,3.33,0.0,20.0
7,3.33,0.0,20.0
8,3.33,0.0,20.0
9,3.33,0.0,20.0
10,3.33,0.0,20.0
11,3.33,0.0,20.0
12,3.33,0.0,20.0
13,3.33,0.0,20.0
14,3.33,0.0,20.0
15,3.33,0.0,20.0
16,3.33,0.0,20.0
17,3.33,0.0,20.0
18,3.33,0.0,20.0
19,3.33,0.0,20.0
20,3.33,0.0,20.0
21,3.33,0.0,20.0
22,3.33,0.0,20.0
23,3.33,0.0,20.0
24,3.33,0.0,20.0
25,3.33,0.0,20.0
26,3.33,0.0,20.0
27,3.33,0.0,20.0
28,3.33,0.0,20.0
29,3.33,0.0,20.0
30,3.33,0.0,20.0
31,3.33,0.0,20.0
32,3.33,0.0,20.0
33,3.33,0.0,20.0
34,3.33,0.0,20.0
35,3.33,0.0,20.0
36,3.33,0.0,20.0
37,3.33,0.0,20.0
38,3.33,0.0,20.0
39,3.33,0.0,20.0
40,3.33,0.0,20.0
41,3.33,0.0,20.0
42,3.33,0.0,20.0
43,3.33,0.0,20.0
44,3.33,0.0,20.0
45,3.33,0.0,20.0
46,3.33,0.0,20.0
47,3.33,0.0,20.0
48,3.33,0.0,20.0
49,3.33,0.0,20.0
50,3.33,0.0,20.0
51,3.33,0.0,20.0
52,3.33,0.0,20.0
53,3.33,0.0,20.0
54,3.33,0.0,20.0
55,3.33,0.0,20.0
56,3.33,0.0,20.0
57,3.33,0.0,20.0
58,3.33,0.0,20.0
59,3.33,0.0,20.0
60,3.33,0.0,20.0
61,3.33,0.0,20.0
62,3.33,0.0,20.0
63,3.33,0.0,20.0
64,3.33,0.0,20.0
65,3.33,0.0,20.0
66,3.33,0.0,20.0
67,3.33,0.0,20.0
68,3.33,0.0,20.0
69,3.33,0.0,20.0
70,3.33,0.0,20.0
71,3.33,0.0,20.0
72,3.33,0.0,20.0
73,3.33,0.0,20.0
74,3.33,0.0,20.0
75,3.33,0.0,20.0
